streak_to_win,probability
1,1.000000000000000
2,0.999999999999998
3,0.999788237185173
4,0.964026112321027
5,0.773464651166486
6,0.505050590656710
7,0.290029519261179
8,0.155668661719992
9,0.080597834347902
10,0.040949966577331
11,0.020566560250468
12,0.010264038142081
13,0.005097436972723
14,0.002525379842530
15,0.001247925807324
16,0.000616140089483
17,0.000303715821120
18,0.000149689519522
19,0.000073680387669
20,0.000036272260623
21,0.000017833559106
22,0.000008770229657
23,0.000004306926997
24,0.000002115714185
25,0.000001037633796
26,0.000000509079720
27,0.000000249296761
28,0.000000122131693
29,0.000000059702641
30,0.000000029199352
31,0.000000014244057
32,0.000000006952686
33,0.000000003383205
34,0.000000001647484
35,0.000000000799232
36,0.000000000388082
37,0.000000000187553
38,0.000000000090749
39,0.000000000043644
40,0.000000000021024
41,0.000000000010046
42,0.000000000004811
43,0.000000000002279
44,0.000000000001083
45,0.000000000000506
46,0.000000000000238
47,0.000000000000109
48,0.000000000000050
49,0.000000000000022
50,0.000000000000010
51,0.000000000000004
52,0.000000000000002
